"jc_mean","lack_control","woj","weights"
2.5,4,"łódzkie",0.880123801794935
4.16666666666667,7,"łódzkie",0.481320122553529
3.16666666666667,4,"łódzkie",0.890134176955416
2.75,5,"łódzkie",1.1367597497731
3,5,"łódzkie",0.582797737960879
1.33333333333333,2,"śląskie",1.16929895287538
2.16666666666667,6,"śląskie",0.486724319343219
1.33333333333333,4,"śląskie",0.802941197721212
1.33333333333333,1,"śląskie",1.21749681344799
1.33333333333333,7,"śląskie",1.10363834220439
2.6,4,"śląskie",0.690991314263227
2,4,"śląskie",0.720648202211438
1.8,5,"śląskie",1.28435587455998
1.33333333333333,5,"śląskie",0.780484326678067
999,7,"śląskie",0.890005711985925
5,7,"śląskie",1.39516974469169
999,7,"śląskie",0.900128482275492
4.6,1,"śląskie",0.890005711985925
5,999,"śląskie",0.826635978898192
1.16666666666667,1,"śląskie",0.868001378138784
3.33333333333333,1,"śląskie",1.28435587455998
1.83333333333333,2,"śląskie",1.06139451004649
5,6,"śląskie",0.690991314263227
1.5,1,"śląskie",1.10363834220439
3,7,"śląskie",1.68529725319723
4,7,"śląskie",1.87346556983011
2.16666666666667,1,"śląskie",0.900128482275492
3,1,"śląskie",0.545636995710738
1.33333333333333,4,"śląskie",1.16929895287538
999,4,"śląskie",0.780484326678067
4,5,"śląskie",0.690991314263227
3.16666666666667,3,"śląskie",0.589341311597106
4,3,"śląskie",0.826635978898192
4.16666666666667,3,"śląskie",0.872030845496655
1.33333333333333,5,"śląskie",0.720648202211438
2,4,"śląskie",0.749330225164226
2.83333333333333,3,"śląskie",1.18259835594705
2.5,4,"śląskie",0.545636995710738
2.5,5,"śląskie",0.890005711985925
5,7,"śląskie",0.780893326510412
5,6,"śląskie",1.39467233918152
1,5,"śląskie",0.520809238621767
1,7,"śląskie",0.875120730281853
5,7,"śląskie",0.730168477871517
4.33333333333333,6,"śląskie",0.606733927338703
5,7,"śląskie",2.02941955973362
4.33333333333333,4,"śląskie",0.832320841455046
2.66666666666667,3,"śląskie",0.780893326510412
4.83333333333333,1,"śląskie",1.85981414965334
2.66666666666667,5,"śląskie",0.606733927338703
2.33333333333333,4,"śląskie",1.07541628695335
4,3,"śląskie",0.875120730281853
3.33333333333333,5,"śląskie",0.730168477871517
2.83333333333333,3,"śląskie",0.606733927338703
3,2,"śląskie",0.727354796115812
1.25,5,"śląskie",1.07901693879967
1,6,"śląskie",1.11644592936455
1,4,"śląskie",0.832320841455046
1.4,5,"śląskie",1.15012552192132
2.5,6,"śląskie",1.05970858915422
3,4,"śląskie",1.08869311494518
2.2,4,"śląskie",1.2363666918581
2.25,4,"śląskie",0.863833178378864
3,6,"śląskie",1.92668622841597
2.66666666666667,4,"śląskie",1.54021268626913
2,5,"śląskie",0.897635963593678
1.8,4,"śląskie",0.813589212210761
2,3,"śląskie",1.80621800149928
2.33333333333333,6,"śląskie",0.805959007302207
4.83333333333333,5,"śląskie",0.672151217930081
4.83333333333333,5,"śląskie",1.08869311494518
3.33333333333333,4,"śląskie",1.05970858915422
3.33333333333333,7,"śląskie",1.08873691592462
4.33333333333333,7,"śląskie",0.537324561559926
2,999,"pomorskie",1.77723720508427
2,2,"pomorskie",1.46778199989388
5,7,"pomorskie",0.844730644047097
3.66666666666667,4,"pomorskie",0.936326471259857
3.75,4,"pomorskie",1.11663527865328
1,1,"pomorskie",0.788329463606262
3,3,"pomorskie",1.02845931821917
1,2,"pomorskie",0.974921334105875
4,6,"pomorskie",1.97097095266014
4.5,5,"pomorskie",0.726954277081685
4.16666666666667,6,"pomorskie",0.844730644047097
4.16666666666667,6,"pomorskie",0.849921034960789
4,6,"pomorskie",0.920490809059523
4.33333333333333,5,"pomorskie",0.936326471259857
3.66666666666667,6,"pomorskie",1.28086199869681
4.5,5,"pomorskie",0.574034925733987
3.16666666666667,4,"pomorskie",1.77723720508427
3.16666666666667,5,"pomorskie",0.917416094523386
3.66666666666667,6,"pomorskie",0.788329463606262
1,6,"pomorskie",1.20998433711572
1.33333333333333,2,"pomorskie",1.57056961291556
1.6,2,"pomorskie",1.20958180765678
1,2,"pomorskie",0.768170434305516
1.5,6,"pomorskie",1.63213481540535
4.33333333333333,6,"pomorskie",0.920666793792571
3.83333333333333,6,"pomorskie",0.834993527265909
1.66666666666667,2,"pomorskie",1.57056961291556
3.75,5,"pomorskie",0.797477930028595
3.5,5,"pomorskie",0.770742381863061
2.6,3,"pomorskie",0.821535281172924
2.66666666666667,4,"pomorskie",0.875639364939225
1.5,4,"pomorskie",0.765210313180351
4.5,3,"pomorskie",0.704504325853941
5,3,"pomorskie",2.47194694416934
5,3,"pomorskie",1.40403482234958
4.16666666666667,4,"pomorskie",0.788808916256859
3.8,7,"pomorskie",1.28822134134058
3,3,"pomorskie",0.763517378633758
2.66666666666667,3,"pomorskie",0.792724462560551
1.66666666666667,1,"pomorskie",1.24882329261396
3,5,"pomorskie",0.944353842844665
2.33333333333333,2,"pomorskie",0.565289867099878
3,4,"pomorskie",1.30071396866386
999,3,"pomorskie",0.908791776025657
3.5,2,"pomorskie",1.62708592579555
4,4,"pomorskie",0.707133639213589
3,4,"pomorskie",1.12453365112148
4,5,"pomorskie",1.14535465208076
3,6,"pomorskie",1.14540073270245
4,7,"pomorskie",1.11486161322774
4,6,"pomorskie",0.847905516924713
1,6,"pomorskie",0.944353842844665
2.5,4,"pomorskie",0.565289867099878
2.83333333333333,5,"pomorskie",0.792724462560551
2.83333333333333,5,"pomorskie",0.763517378633758
3.33333333333333,3,"pomorskie",0.950535242466729
3,5,"pomorskie",1.14540073270245
3,5,"śląskie",0.823954933161987
3.33333333333333,4,"śląskie",0.827921500142325
3,3,"śląskie",0.54397362059594
2.33333333333333,4,"śląskie",0.789034848140856
3.33333333333333,4,"śląskie",0.756021148761346
3,6,"śląskie",0.862889715692498
5,5,"śląskie",0.799617985345834
5,4,"śląskie",0.986285585095936
3,6,"śląskie",0.749785958939523
