"lp","cond","age","gender","jc1","jc2","jc3","jc4","jc5","rc1","rc2","rc3","rc4","rc5","gc1","gc2","gc3","gc4","gc5","cm1","cm2","cm3","cm4","cm5","jc_mean","rc_mean","gc_mean","cm_mean"
1,"meaninglessness",32,"k",3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,5,4,5,5,5,3,4,3,4.8
2,"baseline",40,"m",1,1,1,1,1,5,2,1,5,1,5,1,1,1,1,5,1,3,1,2,1,2.8,1.8,2.4
3,"powerlessness",30,"k",4,4,4,3,4,4,4,4,4,4,4,2,2,3,4,3,2,4,3,3,3.8,4,3,3
4,"baseline",25,"k",3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,5,4,5,4,5,3,4,3.2,4.6
5,"baseline",25,"m",2,2,2,2,2,4,4,3,3,3,3,3,3,2,4,4,3,4,2,2,2,3.4,3,3
6,"baseline",41,"m",4,4,4,3,3,5,5,5,5,5,4,3,5,5,5,5,4,5,5,5,3.6,5,4.4,4.8
7,"meaninglessness",29,"m",2,5,2,2,4,5,5,5,5,5,5,5,3,2,4,5,4,5,5,5,3,5,3.8,4.8
8,"baseline",40,"m",5,4,4,4,5,3,4,3,3,1,4,3,3,4,3,5,3,4,4,4,4.4,2.8,3.4,4
9,"meaninglessness",25,"m",3,3,3,3,3,4,4,4,3,3,3,3,2,2,3,3,4,4,3,3,3,3.6,2.6,3.4
10,"powerlessness",21,"k",2,2,3,1,3,5,5,5,5,5,4,4,4,2,3,5,4,4,4,5,2.2,5,3.4,4.4
11,"powerlessness",43,"m",3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3.6,4,3.4,3.6
12,"baseline",21,"k",4,4,3,3,3,4,4,4,3,3,4,3,3,2,4,5,3,4,4,4,3.4,3.6,3.2,4
13,"meaninglessness",39,"k",4,2,2,3,4,4,4,3,4,4,4,2,2,2,4,4,4,4,2,2,3,3.8,2.8,3.2
14,"baseline",43,"k",2,2,2,1,2,4,4,4,3,3,4,3,3,2,3,4,1,4,2,3,1.8,3.6,3,2.8
15,"powerlessness",28,"k",4,4,2,4,4,3,2,2,3,4,3,2,2,2,4,5,3,4,4,3,3.6,2.8,2.6,3.8
16,"powerlessness",33,"m",5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,4.8,4.8,4.8
17,"meaninglessness",32,"m",5,5,5,3,5,3,5,5,4,3,5,5,5,3,4,5,2,5,3,4,4.6,4,4.4,3.8
18,"powerlessness",34,"m",3,4,4,2,2,5,5,5,5,5,5,2,5,3,5,5,5,5,5,5,3,5,4,5
19,"powerlessness",30,"k",2,2,2,2,2,4,4,4,4,4,4,2,2,1,2,4,3,4,4,4,2,4,2.2,3.8
20,"baseline",30,"m",3,3,4,3,3,4,3,4,4,3,3,3,4,3,3,4,3,4,4,4,3.2,3.6,3.2,3.8
21,"powerlessness",43,"m",3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,5,4,5,3,4,3,3.4,3.8,4.2
22,"meaninglessness",22,"k",3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.8,5,5,5
23,"baseline",42,"k",2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,2,4,2,4
24,"meaninglessness",22,"k",2,3,4,2,2,4,4,5,5,5,4,3,4,3,4,4,4,4,4,4,2.6,4.6,3.6,4
25,"powerlessness",26,"m",2,5,5,2,3,5,5,5,5,5,4,4,5,3,4,5,5,5,5,5,3.4,5,4,5
26,"meaninglessness",44,"m",3,3,3,3,3,3,4,3,2,2,2,2,3,2,2,3,4,4,3,3,3,2.8,2.2,3.4
27,"powerlessness",22,"m",3,4,2,2,4,4,5,2,3,5,4,4,3,1,4,5,4,4,4,3,3,3.8,3.2,4
28,"baseline",29,"m",3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,3.8,4,3.2,5
29,"powerlessness",31,"m",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,4,5,3,4,3,3,3,4.2
30,"baseline",43,"m",3,3,2,2,3,2,2,1,1,1,4,3,3,2,2,4,4,4,3,2,2.6,1.4,2.8,3.4
31,"baseline",37,"m",3,5,5,3,5,4,4,4,4,4,4,4,4,3,4,4,2,4,3,5,4.2,4,3.8,3.6
32,"powerlessness",29,"m",2,3,3,1,2,4,4,3,2,4,4,4,3,1,5,4,2,5,2,2,2.2,3.4,3.4,3
33,"meaninglessness",35,"k",4,5,4,3,2,3,4,5,4,3,5,4,3,2,1,2,3,4,5,4,3.6,3.8,3,3.6
34,"baseline",29,"k",1,1,1,1,1,5,5,5,5,5,3,3,3,3,3,5,4,5,4,4,1,5,3,4.4
35,"baseline",43,"k",3,2,2,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,2.6,3.8,4,5
36,"powerlessness",23,"k",5,5,5,3,5,4,4,5,2,4,3,3,3,1,3,5,5,5,5,5,4.6,3.8,2.6,5
37,"meaninglessness",44,"m",3,4,4,4,5,4,5,4,5,4,5,5,4,4,4,4,3,5,4,5,4,4.4,4.4,4.2
38,"meaninglessness",42,"k",4,3,4,1,2,4,5,4,2,2,2,2,2,1,2,5,2,5,2,5,2.8,3.4,1.8,3.8
39,"baseline",27,"k",3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
40,"meaninglessness",34,"m",3,2,2,3,2,4,3,4,4,3,4,3,4,3,4,4,4,3,3,4,2.4,3.6,3.6,3.6
41,"baseline",36,"m",4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,4,4,4,4,4,4,3.4,4.2
42,"powerlessness",42,"m",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
43,"powerlessness",27,"m",4,5,4,3,4,5,5,5,4,4,5,4,4,4,4,5,4,5,4,4,4,4.6,4.2,4.4
44,"meaninglessness",27,"m",5,4,4,4,4,5,4,4,5,4,5,4,4,5,5,4,4,3,2,3,4.2,4.4,4.6,3.2
45,"powerlessness",27,"m",3,3,3,3,3,4,5,4,5,4,3,3,3,3,3,5,4,5,3,4,3,4.4,3,4.2
46,"meaninglessness",21,"k",2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,3.8
47,"powerlessness",36,"m",4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,3.8,4,5,4.8
48,"powerlessness",31,"m",4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,3.8,3.2
